"Link","Source","Title","Summary","Content","Date","Author","Type","Tag","Categories"
"https://www.wired.com/story/ai-crypto-tracing-model-money-laundering/","Wired","A Vast New Dataset Could Supercharge the AI Hunt for Crypto Money Laundering","Blockchain analysis firm Elliptic, MIT, and IBM, have released a new AI detection model—and the 200-million-transaction dataset it's trained on—that aims to spot the “shape” of Bitcoin money laundering.","As a test of their resulting AI tool, the researchers checked its outputs with one cryptocurrency exchangewhich the paper doesn't nameidentifying 52 suspicious chains of transactions that had all ult… [+3279 chars]","2024-05-01T13:00:00Z","Andy Greenberg","","",""
"https://readwrite.com/russia-opposition-blockchain-mark-feygin/","ReadWrite","Russian opposition voices dissent with blockchain vote","In the wake of Vladimir Putin’s landslide victory in Russia’s recent presidential election, which many have labeled as preordained and… Continue reading Russian opposition voices dissent with blockchain vote
The post Russian opposition voices dissent with blo…","In the wake of Vladimir Putin’s landslide victory in Russia’s recent presidential election, which many have labeled as preordained and lacking legitimacy, exiled opposition leader Mark Feygin is spea… [+2598 chars]","2024-05-10T20:04:06Z","Radek Zielinski","","",""
"https://www.theverge.com/2024/5/16/24158398/crypto-ethereum-heist-peraire-bueno-brothers","The Verge","Two brothers accused of stealing $25 million worth of crypto","The brothers, Anton and James Peraire-Bueno, face up to 60 years in prison if convicted.","Two brothers accused of stealing $25 million worth of crypto
Two brothers accused of stealing $25 million worth of crypto
 / The heist took just 12 minutes to execute, prosecutors claim.
ByGaby De… [+2933 chars]","2024-05-16T20:46:45Z","Gaby Del Valle","","",""
"https://arstechnica.com/tech-policy/2024/05/sophisticated-25m-ethereum-heist-took-about-12-seconds-doj-says/","Ars Technica","MIT students stole $25M in seconds by exploiting ETH blockchain bug, DOJ says","Brothers charged in novel crypto scheme potentially face decades in prison.","45
Within approximately 12 seconds, two highly educated brothers allegedly stole $25 million by tampering with the ethereum blockchain in a never-before-seen cryptocurrency scheme, according to an i… [+4305 chars]","2024-05-15T20:21:44Z","Ashley Belanger","","",""
"https://thenextweb.com/news/pussy-riot-lawyer-blockchain-app-legitimacy-russian-elections","The Next Web","Pussy Riot lawyer launches blockchain-based poll to challenge legitimacy of Russian elections","Russian voters who do not believe the 2024 presidential election was a just affair can now raise their voices via a blockchain-secured and encrypted referendum through the app Russia2024.  This year’s presidential elections in March saw tens of thousands of R…","Russian voters who do not believe the 2024 presidential election was a just affair can now raise their voices via a blockchain-secured and encrypted referendum through the app Russia2024. 
This year… [+5974 chars]","2024-05-10T13:06:24Z","Linnea Ahlgren","","",""
"https://readwrite.com/ethereum-hackers-arrested-mit-brothers-25-million-12-seconds/","ReadWrite","$25M in 12 seconds: MIT hacker brothers arrested in the US","Two brothers who attended the Massachusetts Institute of Technology (MIT) were arrested on Wednesday, facing charges for an innovative scheme… Continue reading $25M in 12 seconds: MIT hacker brothers arrested in the US
The post $25M in 12 seconds: MIT hacker …","Two brothers who attended the Massachusetts Institute of Technology (MIT) were arrested on Wednesday, facing charges for an innovative scheme that exploited the maximum extractable value (MEV) bots o… [+1745 chars]","2024-05-17T12:56:19Z","Radek Zielinski","","",""
"https://thenextweb.com/news/ai-detects-money-laundering-through-cryptocurrencies-on-bitcoin-blockchain","The Next Web","New AI technique detects money laundering via cryptocurrencies","Blockchain is often criticised as a solution in search of a problem. But one group of people has already found immense value in the tech: money launderers. Their crimes cause painful headaches for financial institutions, crypto businesses, legitimate law enfo…","Blockchain is often criticised as a solution in search of a problem. But one group of people has already found immense value in the tech: money launderers.
Their crimes cause painful headaches for f… [+4503 chars]","2024-05-01T15:07:26Z","Thomas Macaulay","","",""
"https://readwrite.com/bitcoin-beaches-one-billion-transactions-milestone/","ReadWrite","Bitcoin beaches one billion transactions milestone","Bitcoin (BTC) — the world’s first and most valuable cryptocurrency — has surpassed one billion processed transactions. This milestone was… Continue reading Bitcoin beaches one billion transactions milestone
The post Bitcoin beaches one billion transactions mi…","Bitcoin (BTC) the world’s first and most valuable cryptocurrency has surpassed one billion processed transactions. This milestone was reached 800 weeks and one day after the launch of Bitcoin on Janu… [+2107 chars]","2024-05-06T12:22:39Z","Radek Zielinski","","",""
"https://venturebeat.com/games/solana-labs-teams-up-with-google-cloud-on-web3-games-via-gameshift/","VentureBeat","Solana Labs teams up with Google Cloud on Web3 games via GameShift","Solana Labs is making a move to bring Web3 gaming to the mainstream with GameShift on Google Cloud.","Are you looking to showcase your brand in front of the gaming industrys top leaders? Learn more about GamesBeat Summit sponsorship opportunities here. 
Solana Labs is making a move to bring Web3 Gam… [+1057 chars]","2024-05-02T13:00:00Z","Dean Takahashi","","",""
"https://readwrite.com/top-6-leading-cryptos-of-2024-anticipated-lunar-event-propels-blockdag-beyond-sol-avax-ada-bnb-uni/","ReadWrite","Top 6 Leading Cryptos of 2024: Anticipated Lunar Event Propels BlockDAG Beyond SOL, AVAX, ADA, BNB, & UNI","BlockDAG is rapidly gaining prominence, ranking alongside Solana, Avalanche, Cardano, Binance, and Uniswap among the top 6 leading cryptos of… Continue reading Top 6 Leading Cryptos of 2024: Anticipated Lunar Event Propels BlockDAG Beyond SOL, AVAX, ADA, BNB,…","BlockDAG is rapidly gaining prominence, ranking alongside Solana, Avalanche, Cardano, Binance, and Uniswap among the top 6 leading cryptos of 2024. The buzz around an upcoming lunar keynote display, … [+4041 chars]","2024-04-22T15:57:59Z","Michael Graw","","",""
